Trade date,Instrument code,Market code,Quantity,Price,Transaction type,Currency,Amount,Transaction fee,Transaction method
2024-01-15,AAPL,NASDAQ,100,150.00,BUY,USD,15000.00,9.95,BUY
2024-01-20,MSFT,NASDAQ,50,300.00,BUY,USD,15000.00,9.95,BUY
2024-02-10,AAPL,NASDAQ,50,160.00,BUY,USD,8000.00,9.95,BUY
2024-02-15,GOOGL,NASDAQ,25,120.00,BUY,USD,3000.00,9.95,BUY
2024-03-10,AAPL,NASDAQ,25,180.00,SELL,USD,4500.00,9.95,SELL
2024-03-15,MSFT,NASDAQ,10,320.00,SELL,USD,3200.00,9.95,SELL
2024-03-20,AAPL,NASDAQ,0,0.00,DIVIDEND,USD,125.00,0.00,DIVIDEND
2024-03-25,MSFT,NASDAQ,0,0.00,DIVIDEND,USD,80.00,0.00,DIVIDEND
2024-04-01,GOOGL,NASDAQ,0,0.00,DIVIDEND,USD,25.00,0.00,DIVIDEND
2024-04-10,TSLA,NASDAQ,30,200.00,BUY,USD,6000.00,9.95,BUY
2024-04-15,NVDA,NASDAQ,20,450.00,BUY,USD,9000.00,9.95,BUY
2024-05-01,TSLA,NASDAQ,10,220.00,SELL,USD,2200.00,9.95,SELL
